0134+329,0224+671,0235+164,0300+470,0316+413,0355+508,0444+634
9.178,1.260,2.200,2.150,39.069,8.510,0.359
9.533,1.460,2.260,2.160,39.745,8.260,0.349
9.616,1.410,2.260,2.200,40.052,8.370,0.353
9.370,1.340,2.300,2.210,39.806,8.320,0.363
9.605,1.380,2.180,2.190,40.019,8.330,0.364
9.461,1.350,2.360,2.210,38.093,8.430,0.382
9.242,1.370,2.320,2.240,39.427,8.370,0.403
9.608,1.350,2.390,2.260,39.427,8.590,0.433
9.278,1.270,2.290,2.190,39.681,8.710,0.426
9.316,1.350,2.320,2.190,39.570,8.210,0.427
9.434,1.330,2.390,2.200,39.858,8.350,0.415
9.561,1.340,2.420,2.170,40.254,8.510,0.406
9.504,1.360,2.320,2.160,39.604,8.390,0.376
9.365,1.320,2.430,2.180,39.750,8.410,0.377
9.413,1.320,2.400,2.190,39.662,8.530,0.361
9.165,1.350,2.230,2.170,39.092,8.460,0.380
9.678,1.300,2.430,2.200,38.746,8.520,0.378
9.534,1.310,2.440,2.080,39.207,8.630,0.396
9.422,1.300,2.420,2.170,39.563,8.400,0.397
9.556,1.330,2.510,2.160,39.406,8.530,0.402
9.427,1.300,2.230,2.160,38.563,8.550,0.372
9.459,1.330,2.300,2.130,39.787,8.340,0.352
9.544,1.300,2.330,2.230,39.713,8.510,0.329
9.396,1.280,2.340,2.230,40.074,8.500,0.355
9.462,1.290,2.430,2.250,39.905,8.530,0.372
9.237,1.280,2.250,2.230,40.220,8.600,0.378
9.646,1.300,2.170,2.260,39.433,8.540,0.375
9.550,1.280,2.260,2.260,39.461,8.490,0.374
9.715,1.330,2.270,2.220,40.035,8.670,0.380
11.480,1.300,2.300,2.300,35.496,8.530,0.377
11.498,1.240,2.300,2.290,35.896,8.500,0.398
10.585,1.290,2.290,2.320,35.489,8.710,0.393
